code,district_class
RU-MOW,central
RU-YAR,central
RU-TUL,central
RU-RYA,central
RU-ORL,central
RU-LIP,central
RU-KRS,central
RU-IVA,central
RU-BRY,central
RU-TAM,central
RU-KOS,central
RU-VLA,central
RU-MOS,central
RU-KLU,central
RU-BEL,central
RU-VOR,central
RU-SMO,central
RU-TVE,central

RU-KHA,far-east
RU-CHU,far-east
RU-YEV,far-east
RU-SAK,far-east
RU-AMU,far-east
RU-BU,far-east
RU-ZAB,far-east
RU-PRI,far-east
RU-KAM,far-east
RU-MAG,far-east
RU-SA,far-east

RU-CE,northcaucasus
RU-SE,northcaucasus
RU-IN,northcaucasus
RU-DA,northcaucasus
RU-STA,northcaucasus
RU-KB,northcaucasus
RU-KC,northcaucasus

RU-SPE,northwest
RU-NEN,northwest
RU-NGR,northwest
RU-KGD,northwest
RU-KR,northwest
RU-KO,northwest
RU-MUR,northwest
RU-LEN,northwest
RU-VLG,northwest
RU-PSK,northwest
RU-ARK,northwest

RU-OMS,siberian
RU-AL,siberian
RU-TY,siberian
RU-KK,siberian
RU-KEM,siberian
RU-NVS,siberian
RU-ALT,siberian
RU-KYA,siberian
RU-TOM,siberian
RU-IRK,siberian

RU-AST,southern
RU-KL,southern
RU-AD,southern
RU-CR,southern
RU-SEV,southern
RU-KDA,southern
RU-ROS,southern
RU-VGG,southern

RU-CHE,ural
RU-TYU,ural
RU-SVE,ural
RU-KGN,ural
RU-YAN,ural
RU-KHM,ural

RU-ULY,volga
RU-UD,volga
RU-MO,volga
RU-BA,volga
RU-KIR,volga
RU-PNZ,volga
RU-SAM,volga
RU-TA,volga
RU-ME,volga
RU-CU,volga
RU-NIZ,volga
RU-ORE,volga
RU-SAR,volga
RU-PER,volga
